[worker.serial] 2026/02/23 08:11:17.881074 start: device=/dev/ttyUSB0 baud=9600 unit=kg
[worker.serial] 2026/02/23 08:11:17.882610 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:18.085571 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:18.085623 stream read error: EOF
[worker.serial] 2026/02/23 08:11:18.487011 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:18.693383 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:18.693417 stream read error: EOF
[worker.serial] 2026/02/23 08:11:19.094643 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:19.297375 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:19.297413 stream read error: EOF
[worker.serial] 2026/02/23 08:11:19.698427 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:19.905427 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:19.905460 stream read error: EOF
[worker.serial] 2026/02/23 08:11:20.306663 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:20.513334 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:20.513379 stream read error: EOF
[worker.serial] 2026/02/23 08:11:20.914709 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:21.117776 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:21.117803 stream read error: EOF
[worker.serial] 2026/02/23 08:11:21.518753 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:21.721358 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:21.721383 stream read error: EOF
[worker.serial] 2026/02/23 08:11:22.122713 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:22.329553 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:22.329625 stream read error: EOF
[worker.serial] 2026/02/23 08:11:22.731092 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:22.933712 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:22.933751 stream read error: EOF
[worker.serial] 2026/02/23 08:11:23.334861 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:23.537726 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:23.537759 stream read error: EOF
[worker.serial] 2026/02/23 08:11:23.938584 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:24.145341 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:24.145366 stream read error: EOF
[worker.serial] 2026/02/23 08:11:24.547102 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:24.749389 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:24.749417 stream read error: EOF
[worker.serial] 2026/02/23 08:11:25.150201 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:25.357603 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:25.357629 stream read error: EOF
[worker.serial] 2026/02/23 08:11:25.758852 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:25.961706 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:25.961733 stream read error: EOF
[worker.serial] 2026/02/23 08:11:26.362476 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:26.565688 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:26.565728 stream read error: EOF
[worker.serial] 2026/02/23 08:11:26.966419 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:27.169740 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:27.169775 stream read error: EOF
[worker.serial] 2026/02/23 08:11:27.570864 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:27.773526 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:27.773554 stream read error: EOF
[worker.serial] 2026/02/23 08:11:28.175116 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:28.377648 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:28.377678 stream read error: EOF
[worker.serial] 2026/02/23 08:11:28.779243 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:28.981502 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:28.981531 stream read error: EOF
[worker.serial] 2026/02/23 08:11:29.383203 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:29.589293 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:29.589320 stream read error: EOF
[worker.serial] 2026/02/23 08:11:29.989969 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:30.193850 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:30.193876 stream read error: EOF
[worker.serial] 2026/02/23 08:11:30.594905 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:30.797345 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:30.797375 stream read error: EOF
[worker.serial] 2026/02/23 08:11:31.199350 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:31.401357 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:31.401402 stream read error: EOF
[worker.serial] 2026/02/23 08:11:31.803252 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:32.005747 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:32.005773 stream read error: EOF
[worker.serial] 2026/02/23 08:11:32.406646 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:32.613525 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:32.613555 stream read error: EOF
[worker.serial] 2026/02/23 08:11:33.014784 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:33.221381 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:33.221413 stream read error: EOF
[worker.serial] 2026/02/23 08:11:33.622356 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:33.825391 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:33.825415 stream read error: EOF
[worker.serial] 2026/02/23 08:11:34.227369 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:34.429658 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:34.429692 stream read error: EOF
[worker.serial] 2026/02/23 08:11:34.830857 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:35.033389 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:35.033418 stream read error: EOF
[worker.serial] 2026/02/23 08:11:35.434933 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:35.637778 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:35.637810 stream read error: EOF
[worker.serial] 2026/02/23 08:11:36.039130 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:36.241644 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:36.241678 stream read error: EOF
[worker.serial] 2026/02/23 08:11:36.643496 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:36.845684 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:36.845716 stream read error: EOF
[worker.serial] 2026/02/23 08:11:37.246622 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:37.449620 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:37.449664 stream read error: EOF
[worker.serial] 2026/02/23 08:11:37.850949 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:38.053543 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:38.053573 stream read error: EOF
[worker.serial] 2026/02/23 08:11:38.455292 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:38.657622 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:38.657658 stream read error: EOF
[worker.serial] 2026/02/23 08:11:39.058312 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:39.265367 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:39.265401 stream read error: EOF
[worker.serial] 2026/02/23 08:11:39.666535 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:39.873581 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:39.873610 stream read error: EOF
[worker.serial] 2026/02/23 08:11:40.274447 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:40.481334 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:40.481366 stream read error: EOF
[worker.serial] 2026/02/23 08:11:40.882738 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:41.085690 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:41.085720 stream read error: EOF
[worker.serial] 2026/02/23 08:11:41.487351 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:41.693353 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:41.693387 stream read error: EOF
[worker.serial] 2026/02/23 08:11:42.094853 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:42.301420 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:42.301459 stream read error: EOF
[worker.serial] 2026/02/23 08:11:42.702296 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:42.905347 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:42.905392 stream read error: EOF
[worker.serial] 2026/02/23 08:11:43.307034 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:43.509583 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:43.509625 stream read error: EOF
[worker.serial] 2026/02/23 08:11:43.910337 port opened: device=/dev/ttyUSB0 baud=9600
[worker.serial] 2026/02/23 08:11:44.113317 port closed: device=/dev/ttyUSB0 err=EOF
[worker.serial] 2026/02/23 08:11:44.113349 stream read error: EOF
[worker.serial] 2026/02/23 08:11:44.514307 port opened: device=/dev/ttyUSB0 baud=9600
